E;1;58759565004;1950.0;1000.0
E;2;78297346072;0.0;1000.0
E;3;03765569003;0.0;1000.0
E;4;58759565004;0.0;1000.0
E;5;78297346072;0.0;1000.0
E;6;03765569003;0.0;1000.0
E;7;58759565004;0.0;1000.0
E;8;78297346072;0.0;1000.0
E;9;03765569003;0.0;1000.0
E;10;58759565004;0.0;1000.0
E;11;78297346072;0.0;1000.0
E;12;03765569003;0.0;1000.0
S;13;00000000000;263.0
E;14;58759565004;0.0;1000.0
E;15;78297346072;0.0;1000.0
E;16;03765569003;0.0;1000.0
E;17;58759565004;0.0;1000.0
E;18;78297346072;0.0;1000.0
E;19;03765569003;0.0;1000.0
